"id","nama","alamat","desa","kecamatan"
"2539","SD NEGERI LERAN I KALITIDU","LERAN","LERAN","KEC. KALITIDU"
"2540","SD NEGERI LERAN II KALITIDU","SIDOKUMPUL","LERAN","KEC. KALITIDU"
"2541","SD NEGERI LERAN IV KALITIDU","DS. LERAN","LERAN","KEC. KALITIDU"
"2542","SD NEGERI MAYANGREJO","MAYANGREJO","MAYANGREJO","KEC. KALITIDU"
"2543","SD NEGERI MLATEN I KALITIDU","MLATEN","MLATEN","KEC. KALITIDU"
"2544","SD NEGERI MLATEN II KALITIDU","JL. PUD","MLATEN","KEC. KALITIDU"
"2545","SD NEGERI MOJO KALITIDU","DESA MOJO","MOJO","KEC. KALITIDU"
"2546","SD NEGERI MOJOSARI KALITIDU","MOJOSARI","MOJO","KEC. KALITIDU"
"2547","SD NEGERI NGRINGINREJO II KALITIDU","NGRINGINREJO","NGRINGINREJO","KEC. KALITIDU"
"2548","SD NEGERI NGUJO I KALITIDU","JALAN WADUK LERAN NO 308","NGUJO","KEC. KALITIDU"
"2549","SD NEGERI PANJUNAN II KALITIDU","PANJUNAN","PANJUNAN","KEC. KALITIDU"
"2550","SD NEGERI PILANGSARI I KALITIDU","DS. PILANGSARI","PILANGSARI","KEC. KALITIDU"
"2551","SD NEGERI PILANGSARI II KALITIDU","DESA PILANGSARI","PILANGSARI","KEC. KALITIDU"
"2552","SD NEGERI PUNGPUNGAN I KALITIDU","PUNGPUNGAN","PUNGPUNGAN","KEC. KALITIDU"
"2553","SD NEGERI PUNGPUNGAN II KALITIDU","DSN. BILO DESA PUNGPUNGAN","PUNGPUNGAN","KEC. KALITIDU"
"2554","SD NEGERI SUKOHARJO KALITIDU","JL. RAYA CEPU","SUKOHARJO","KEC. KALITIDU"
"2555","SD NEGERI SUMENGKO I KALITIDU","SUMENGKO","SUMENGKO","KEC. KALITIDU"
"2556","SD NEGERI SUMENGKO II KALITIDU","DS SUMENGKO","SUMENGKO","KEC. KALITIDU"
"2557","SD NEGERI TALOK KALITIDU","TALOK","TALOK","KEC. KALITIDU"
"2558","SD NEGERI WOTANNGARE I KALITIDU","JL. RAYA KALITIDU - NGASEM NO. 105","WOTANNGARE","KEC. KALITIDU"
"2559","SD NEGERI WOTANNGARE II KALITIDU","JL. RAYA KALITIDU - NGASEM 118","WOTANNGARE","KEC. KALITIDU"
"2560","SD NEGERI BAKUNG KANOR","JL. SOEKARNO  HATTA  NO.637","BAKUNG","KEC. KANOR"
"2561","SD NEGERI BUNGUR I KANOR","DKH. SOKA RT. 02 RW. 02","BUNGUR","KEC. KANOR"
"2562","SD NEGERI BUNGUR II KANOR","DESA BUNGUR","BUNGUR","KEC. KANOR"
"2563","SD NEGERI CANGAKAN KANOR","JL. POROS TIMUR DESA CANGAAN","CANGAKAN","KEC. KANOR"
"2564","SD NEGERI CARUBAN KANOR","JL. RAYA DESA CARUBAN","CARUBAN","KEC. KANOR"
"2565","SD NEGERI GEDONGARUM KANOR","DESA GEDONGARUM NO. 108","GEDONGARUM","KEC. KANOR"
"2566","SD NEGERI KABALAN KANOR","KABALAN","KABALAN","KEC. KANOR"
"2567","SD NEGERI KANOR I KANOR","JL. RAYA PRIGI NO. 224","KANOR","KEC. KANOR"
"2568","SD NEGERI KANOR II KANOR","JL. RAYA KANOR NO. 26","KANOR","KEC. KANOR"
"2569","SD NEGERI KEDUNGPRIMPEN KANOR","JL. ASEM JAJAR NO. 71","KEDUNGPRIMPEN","KEC. KANOR"
"2570","SD NEGERI NGLARANGAN","DESA NGLARANGAN","NGLARANGAN","KEC. KANOR"
"2571","SD NEGERI PALEMBON KANOR","JALAN UTAMA PALEMBON","PALEMBON","KEC. KANOR"
"2572","SD NEGERI PESEN KANOR","DESA PESEN","PESEN","KEC. KANOR"
"2573","SD NEGERI PILANG KANOR","JL. RAYA DS. PILANG","PILANGSARI","KEC. KANOR"
"2574","SD NEGERI PIYAK KANOR","JALAN PUK SUMBERREJO - KANOR","PIYAK","KEC. KANOR"
"2575","SD NEGERI PRIGI I KANOR","PRIGI RT 04 RW 02 NO 294","PRIGI","KEC. KANOR"
"2576","SD NEGERI PRIGI II KANOR","JL. RAYA DESA PRIGI","PRIGI","KEC. KANOR"
"2577","SD NEGERI SAMBERAN KANOR","JLN. SIMPANG TIGA NO. 241","SAMBERAN","KEC. KANOR"
"2578","SD NEGERI SEDENG I KANOR","SEDENG","SEDENG","KEC. KANOR"
"2579","SD NEGERI SEDENG II KANOR","DK. TAWANG DS. SEDENG","SEDENG","KEC. KANOR"
"2580","SD NEGERI SEMAMBUNG I KANOR","JL. RAYA DS. PILANG DESA SEMAMBUNG","SEMAMBUNG","KEC. KANOR"
"2581","SD NEGERI SIMBATAN KANOR","DESA SIMBATAN","SIMBATAN","KEC. KANOR"
"2582","SD NEGERI SIMOREJO KANOR","DESA SIMOREJO","SIMOREJO","KEC. KANOR"
"2583","SD NEGERI SROYO KANOR","JL.RAYA TIMUR PASAR SROYO NO.09","SROYO","KEC. KANOR"
"2584","SD NEGERI SUMBERWANGI","JL. DESA SUMBERWANGI","SUMBERWANGI","KEC. KANOR"
"2585","SD NEGERI TAMBAHREJO I KANOR","JL. RAYA KANOR 117","TAMBAHREJO","KEC. KANOR"
"2586","SD NEGERI TAMBAHREJO II KANOR","JALAN DESA TAMBAHREJO","TAMBAHREJO","KEC. KANOR"
"2587","SD NEGERI TEJO KANOR","JL.PASINAN NO.321","TEJO","KEC. KANOR"
"2588","SD NEGERI TEMU I KANOR","DS TEMU","TEMU","KEC. KANOR"
"2589","SD NEGERI TEMU II KANOR","DESA TEMU","TEMU","KEC. KANOR"
"2590","SD NEGERI BAKALAN I KAPAS","DS BAKALAN","BAKALAN","KEC. KAPAS"
"2591","SD NEGERI BAKALAN II KAPAS","JL SEMEN PINGGIR NO 70","BAKALAN","KEC. KAPAS"
"2592","SD NEGERI BANGILAN KAPAS","DS BANGILAN","BANGILAN","KEC. KAPAS"
"2593","SD NEGERI BENDO KAPAS","JL. CONDROYUDHA NO. 386","BENDO","KEC. KAPAS"
"2594","SD NEGERI BOGO KAPAS","JL KASEMBO 78 DS. BOGO","BOGO","KEC. KAPAS"
"2595","SD NEGERI KALIANYAR KAPAS","JL. LETDA NUR HASYIM","KALIANYAR","KEC. KAPAS"
"2596","SD NEGERI KAPAS I KAPAS","JL RAYA KAPAS NO 120","KAPAS","KEC. KAPAS"
"2597","SD NEGERI KAPAS II KAPAS","JL MASJID N0 33","KAPAS","KEC. KAPAS"
"2598","SD NEGERI KEDATON II KAPAS","JL DESA KEDATON","KEDATON","KEC. KAPAS"
"2599","SD NEGERI KUMPULREJO KAPAS","JL. WONGSOREJO DS. KUMPULREJO","KUMPULREJO","KEC. KAPAS"
"2600","SD NEGERI MODEL TERPADU BOJONEGORO","JALAN RAYA SUKOWATI","SUKOWATI","KEC. KAPAS"
"2601","SD NEGERI MOJODESO II KAPAS","JL.TUGU PAYUNG NO. 162","MOJODESO","KEC. KAPAS"
"2602","SD NEGERI NGAMPEL KAPAS","JL. BALAIDESA NGAMPEL","NGAMPEL","KEC. KAPAS"
"2603","SD NEGERI PADANGMENTOYO KAPAS","PADANGMENTOYO","PADANGMENTOTO","KEC. KAPAS"
"2604","SD NEGERI PLESUNGAN KAPAS","JL. WATU MIRING NO. 77","PLESUNGAN","KEC. KAPAS"
"2605","SD NEGERI SAMBIROTO","DESA SAMBIROTO","SAMBIROTO","KEC. KAPAS"
"2606","SD NEGERI SEMBUNG KAPAS","DESA SEMBUNG","SEMBUNG","KEC. KAPAS"
"2607","SD NEGERI SEMENPINGGIR KAPAS","DS. SEMENPINGGIR","SEMENPINGGIR","KEC. KAPAS"
"2608","SD NEGERI SUKOWATI KAPAS","DS SUKOWATI","SUKOWATI","KEC. KAPAS"
"2609","SD NEGERI TANJUNGHARJO I KAPAS","JL SOMOHARJO NO.13","TANJUNGHARJO","KEC. KAPAS"
"2610","SD NEGERI TANJUNGHARJO IV KAPAS","JL. SENGKRIK NO. 872 RT 17 RW 03 DS. TANJUNGHARJO","TANJUNGHARJO","KEC. KAPAS"
"2611","SD NEGERI TAPELAN KAPAS","TAPELAN","TAPELAN","KEC. KAPAS"
"2612","SD NEGERI TIKUSAN KAPAS","RT 3 RW 1","TIKUSA","KEC. KAPAS"
"2613","SD NEGERI WEDI KAPAS","DS WEDI","WEDI","KEC. KAPAS"
"2614","SD PLUS AL QOMARIYAH","JL. RAJEKWESI NO. 1002 ","TANJUNGHARJO","KEC. KAPAS"
"2615","SD NEGERI BATOKAN I KASIMAN","JL. RONGGOLAWE NO 78","BATOKAN","KEC. KASIMAN"
"2616","SD NEGERI BATOKAN V KASIMAN","JL. RAJAWALI BANDAR DESA BATOKAN","BATOKAN","KEC. KASIMAN"
"2617","SD NEGERI BESAH I KASIMAN","JL. WONOSARI DS. BESAH","BESAH","KEC. KASIMAN"
"2618","SD NEGERI BESAH II KASIMAN","JL WONOSARI DESA BESAH","BESAH","KEC. KASIMAN"
"2619","SD NEGERI BETET KASIMAN","DESA BETET","NEGERI","KEC. KASIMAN"
"2620","SD NEGERI KASIMAN I KASIMAN","DESA KASIMAN","KASIMAN","KEC. KASIMAN"
"2621","SD NEGERI KASIMAN II KASIMAN","DESA KARANGANYAR","KASIMAN","KEC. KASIMAN"
"2622","SD NEGERI KASIMAN III KASIMAN","DESA KASIMAN","KASIMAN","KEC. KASIMAN"
"2623","SD NEGERI NGAGLIK I KASIMAN","DESA NGAGLIK","NGAGLIK","KEC. KASIMAN"
"2624","SD NEGERI SAMBENG I KASIMAN","DESA SAMBENG","SAMBENG","KEC. KASIMAN"
"2625","SD NEGERI SEKARAN I KASIMAN","JL. WONOSARI 10","SEKARAN","KEC. KASIMAN"
"2626","SD NEGERI SEKARAN II KASIMAN","JL. NGANTRU DK. NGANTRU RT.004 RW.003","SEKARAN","KEC. KASIMAN"
"2627","SD NEGERI SEKARAN III KASIMAN","JL. WONOSARI  DESA SEKARAN","SEKARAN","KEC. KASIMAN"
"2628","SD NEGERI SIDOMUKTI I KASIMAN","JL. DESA SIDOMUKTI","SIDOMUKTI","KEC. KASIMAN"
"2629","SD NEGERI SIDOMUKTI II KASIMAN","JL.KEMIRI","SIDOMUKTI","KEC. KASIMAN"
"2630","SD NEGERI TAMBAKMERAK II KASIMAN","DESA TAMBAKMERAK","TAMBAKMERAK","KEC. KASIMAN"
"2631","SD NEGERI TAMBAKMERAK III KASIMAN","JL. KLEPO","TAMBAKMERAK","KEC. KASIMAN"
"2632","SD NEGERI TEMBELING I KASIMAN","DESA TEMBELING","TEMBELING","KEC. KASIMAN"
"2633","SD NEGERI BEJI II KEDEWAN","DESA BEJI","BEJI","KEC. KEDEWAN"
"2634","SD NEGERI BEJI III","DESA BEJI","BEJI","KEC. KEDEWAN"
"2635","SD NEGERI BEJI IV KEDEWAN","DESA BEJI","BEJI","KEC. KEDEWAN"
"2636","SD NEGERI HARGOMULYO I","DESA HARGOMULYO","HARGOMULYO","KEC. KEDEWAN"
"2637","SD NEGERI HARGOMULYO II","HARGOMULYO","HARGOMULYO","KEC. KEDEWAN"
"2638","SD NEGERI HARGOMULYO IV","DESA HARGOMULYO","HARGOMULYO","KEC. KEDEWAN"
"2639","SD NEGERI KAWENGAN KEDEWAN","JL. WONOSARI","HARGOMULYO","KEC. KEDEWAN"
"2640","SD NEGERI KEDEWAN I KEDEWAN","KEDEWAN JL. RAYA BEJI","KEDEWAN","KEC. KEDEWAN"
"2641","SD NEGERI KEDEWAN III KEDEWAN","DESA KEDEWAN","KEDEWAN","KEC. KEDEWAN"
"2642","SD NEGERI WONOCOLO I KEDEWAN","WONOCOLO","WONOCOLO","KEC. KEDEWAN"
"2643","SD NEGERI WONOCOLO II KEDEWAN","JLN. BUYUT DALEM DS WONOCOLO RT 6 RW 2","WONOCOLO","KEC. KEDEWAN"
"2644","SD ISLAM NABAWI KEDUNGADEM","JL. RAYA NGAGLIK NO. 28","KEDUNGADEM","KEC. KEDUNGADEM"
"2645","SD K MARANATHA KEDUNGADEM","JL. GAJAH MADA GG. PLUMPUNG NO.793","KEDUNGADEM","KEC. KEDUNGADEM"
"2646","SD MUHAMMADIYAH I KEDUNGADEM","JL. PUK NO. 598","TLOGOAGUNG","KEC. KEDUNGADEM"
"2647","SD NEGERI BABAD II KEDUNGADEM","DUKUH BANARAN","BABAD","KEC. KEDUNGADEM"
"2648","SD NEGERI BABAD III KEDUNGADEM","DS. BABAD","BABAD","KEC. KEDUNGADEM"
"2649","SD NEGERI BABAD IV KEDUNGADEM","DESA BABAD","BABAD","KEC. KEDUNGADEM"
"2650","SD NEGERI BALONGCABE KEDUNGADEM","BALONGCABE","BALONGCABE","KEC. KEDUNGADEM"
"2651","SD NEGERI DAYUKIDUL I KEDUNGADEM","DAYUKIDUL","DAYUKIDUL","KEC. KEDUNGADEM"
"2652","SD NEGERI DAYUKIDUL II KEDUNGADEM","DAYUKIDUL","DAYUKIDUL","KEC. KEDUNGADEM"
"2653","SD NEGERI DROKILO I KEDUNGADEM","JL. MINTOROGO","DROKILO","KEC. KEDUNGADEM"
"2654","SD NEGERI DROKILO II KEDUNGADEM","DROKILO","DROKILO","KEC. KEDUNGADEM"
"2655","SD NEGERI DUWEL KEDUNGADEM","DS. DUWEL","DUWEL","KEC. KEDUNGADEM"
"2656","SD NEGERI GEGER KEDUNGADEM","GEGER","GEGER","KEC. KEDUNGADEM"
"2657","SD NEGERI JAMBEREJO I KEDUNGADEM","JL. RAYA JAMBEREJO","JAMBEREJO","KEC. KEDUNGADEM"
"2658","SD NEGERI JAMBEREJO II KEDUNGADEM","JAMBEREJO","JAMBEREJO","KEC. KEDUNGADEM"
"2659","SD NEGERI JAMBEREJO III KEDUNGADEM","JAMBEREJO","JAMBEREJO","KEC. KEDUNGADEM"
"2660","SD NEGERI KEDUNGADEM 1 KEDUNGADEM","JL. GAJAH MADA NO. 146 DESA KEDUNGADEM","KEDUNGADEM","KEC. KEDUNGADEM"
"2661","SD NEGERI KEDUNGADEM III KEDUNGADEM","JL. RONGGOLAWE NO. 595 DESA KEDUNGADEM","KEDUNGADEM","KEC. KEDUNGADEM"
"2662","SD NEGERI KEDUNGREJO I KEDUNGADEM","DESA KEDUNGREJO","KEDUNGREJO","KEC. KEDUNGADEM"
"2663","SD NEGERI KEDUNGREJO II KEDUNGADEM","KEDUNGREJO","KEDUNGREJO","KEC. KEDUNGADEM"
"2664","SD NEGERI KENDUNG I KEDUNGADEM","KENDUNG","KENDUNG","KEC. KEDUNGADEM"
"2665","SD NEGERI KENDUNG II KEDUNGADEM","DUKUH SAMBONG","KENDUNG","KEC. KEDUNGADEM"
"2666","SD NEGERI KENDUNG III KEDUNGADEM","DUSUN KLOMPOK","KENDUNG","KEC. KEDUNGADEM"
"2667","SD NEGERI KEPOHKIDUL II KEDUNGADEM","KEPOHKIDUL","KEPOHKIDUL","KEC. KEDUNGADEM"
"2668","SD NEGERI KESONGO I KEDUNGADEM","DS. KESONGO","KESONGO","KEC. KEDUNGADEM"
"2669","SD NEGERI KESONGO II KEDUNGADEM","KESONGO","KESONGO","KEC. KEDUNGADEM"
"2670","SD NEGERI MEGALE I KEDUNGADEM","DESA MEGALE","MEGALE","KEC. KEDUNGADEM"
"2671","SD NEGERI MEGALE III KEDUNGADEM","DUSUN SEPAT","MEGALE","KEC. KEDUNGADEM"
"2672","SD NEGERI MLIDEG KEDUNGADEM","DS. MLIDEG","MLIDEG","KEC. KEDUNGADEM"
"2673","SD NEGERI MOJOREJO KEDUNGADEM","DESA MOJOREJO","MOJOREJO","KEC. KEDUNGADEM"
"2674","SD NEGERI NGRANDU I KEDUNGADEM","JL. BOMO NO. 01","NGRANDU","KEC. KEDUNGADEM"
"2675","SD NEGERI NGRANDU II KEDUNGADEM","DS. NGRANDU","NGRANDU","KEC. KEDUNGADEM"
"2676","SD NEGERI PANJANG I KEDUNGADEM","JALAN MAYANGKARA NO. 132","PANJANG","KEC. KEDUNGADEM"
"2677","SD NEGERI PANJANG II KEDUNGADEM","DUSUN MALANGBONG","PANJANG","KEC. KEDUNGADEM"
"2678","SD NEGERI PANJANG III KEDUNGADEM","DSN. TLAWAH JL. SEMBADAN NO. 488","PANJANG","KEC. KEDUNGADEM"
"2679","SD NEGERI PEJOK I KEDUNGADEM","DS. PEJOK","PEJOK","KEC. KEDUNGADEM"
"2680","SD NEGERI PEJOK II KEDUNGADEM","PEJOK","PEJOK","KEC. KEDUNGADEM"
"2681","SD NEGERI SIDOMULYO I KEDUNGADEM","JL. SUMBERWANGI","SIDOMULYO","KEC. KEDUNGADEM"
"2682","SD NEGERI SIDOMULYO II KEDUNGADEM","SANGGAR","SIDOMULYO","KEC. KEDUNGADEM"
"2683","SD NEGERI SIDOREJO I KEDUNGADEM","JL. RAYA SIDOREJO KEDUNGADEM NO. 232","SIDOREJO","KEC. KEDUNGADEM"
"2684","SD NEGERI SIDOREJO II KEDUNGADEM","DS. SIDOREJO","SIDOREJO","KEC. KEDUNGADEM"
"2685","SD NEGERI TLOGOAGUNG I KEDUNGADEM","DS. TLOGOAGUNG","TLOGOAGUNG","KEC. KEDUNGADEM"
"2686","SD NEGERI TONDOMULO I KEDUNGADEM","TONDOMULO","TONDOMULO","KEC. KEDUNGADEM"
"2687","SD NEGERI TONDOMULO II","DESA TONDOMULO","TONDOMULO","KEC. KEDUNGADEM"
"2688","SD NEGERI TONDOMULO III KEDUNGADEM","BUNTEN RT 02 RW 15","TONDOMULO","KEC. KEDUNGADEM"
"2689","SD NEGERI TONDOMULO IV KEDUNGADEM","DSN SUMENGKO","TONDOMULO","KEC. KEDUNGADEM"
"2690","SD NEGERI TUMBRASANOM KEDUNGADEM","TUMBRASANOM RT. 02 RW. 03","TUMBRASANOM","KEC. KEDUNGADEM"
"2691","SD NEGERI BALONGDOWO KEPOHBARU","BALONGDOWO","BALONGDOWO","KEC. KEPOHBARU"
"2692","SD NEGERI BAYEMGEDE II KEPOHBARU","BAYEMGEDE","BAYEMGEDE","KEC. KEPOHBARU"
"2693","SD NEGERI BETET KEPOHBARU","BETET","BETET","KEC. KEPOHBARU"
"2694","SD NEGERI BRANGKAL I KEPOHBARU","DESA BRANGKAL","BRANGKAL","KEC. KEPOHBARU"
"2695","SD NEGERI BRANGKAL II KEPOHBARU","BRANGKAL","BRANGKAL","KEC. KEPOHBARU"
"2696","SD NEGERI BUMIREJO KEPOHBARU","DESA BUMIREJO","BUMIREJO","KEC. KEPOHBARU"
"2697","SD NEGERI CENGKIR I KEPOHBARU","JALAN PUK NO.210 CENGKIR","CENGKIR","KEC. KEPOHBARU"
"2698","SD NEGERI JIPO I KEPOHBARU","JIPO","JIPO","KEC. KEPOHBARU"
"2699","SD NEGERI KARANGAN KEPOHBARU","KARANGAN","KARANGAN","KEC. KEPOHBARU"
"2700","SD NEGERI KEPOH I KEPOHBARU","JL. RAYA KEPOHBARU, NO.20","KEPOH","KEC. KEPOHBARU"
"2701","SD NEGERI KEPOH II KEPOHBARU","JL.A. YANI NO.365","KEPOH","KEC. KEPOHBARU"
"2702","SD NEGERI KRANGKONG II KEPOHBARU","KRANGKONG","KRANGKONG","KEC. KEPOHBARU"
"2703","SD NEGERI MOJOSARI KEPOHBARU","MOJOSARI","MOJOSARI","KEC. KEPOHBARU"
"2704","SD NEGERI NGLUMBER I KEPOHBARU","NGLUMBER RT. 03 RW. 01","NGLUMBER","KEC. KEPOHBARU"
"2705","SD NEGERI NGLUMBER II KEPOHBARU","NGLUMBER RT. 02 RW. 01","NGLUMBER","KEC. KEPOHBARU"
"2706","SD NEGERI PEJOK I KEPOHBARU","DUSUN KARANG PILANG","PEJOK","KEC. KEPOHBARU"
"2707","SD NEGERI PEJOK II KEPOHBARU","PEJOK","PEJOK","KEC. KEPOHBARU"
"2708","SD NEGERI PEJOK III KEPOHBARU","DESA PEJOK","PEJOK","KEC. KEPOHBARU"
"2709","SD NEGERI POHWATES I KEPOHBARU","POHWATES","POHWATES","KEC. KEPOHBARU"
"2710","SD NEGERI SIDOMUKTI I KEPOHBARU","JALAN RAYA KEPOHBARU NO 614","SIDOMUKTI","KEC. KEPOHBARU"
"2711","SD NEGERI SIDOMUKTI III KEPOHBARU","DUSUN GUMENG","SIDOMUKTI","KEC. KEPOHBARU"
"2712","SD NEGERI SIMOREJO I KEPOHBARU","KALIGAWE","SIMOREJO","KEC. KEPOHBARU"
"2713","SD NEGERI SUGIHWARAS I KEPOHBARU","SUGIHWARAS","SUGIHWARAS","KEC. KEPOHBARU"
"2714","SD NEGERI SUMBERAGUNG KEPOHBARU","SUMBERAGUNG","SUMBERAGUNG","KEC. KEPOHBARU"
"2715","SD NEGERI SUMBERGEDE KEPOHBARU","DESA SUMBERGEDE","SUMBERGEDE","KEC. KEPOHBARU"
"2716","SD NEGERI SUMBEROTO KEPOHBARU","SUMBEROTO","SUMBEROTO","KEC. KEPOHBARU"
"2717","SD NEGERI TLOGOREJO KEPOHBARU","DUSUNTENGGER  RT:5/RW:2 TLOGOREJO","TLOGOREJO","KEC. KEPOHBARU"
"2718","SD NEGERI TURIGEDE I KEPOHBARU","TURIGEDE","TURIGEDE","KEC. KEPOHBARU"
"2719","SD NEGERI WORO KEPOHBARU","DESA WORO","WORO","KEC. KEPOHBARU"
"2720","SD NEGERI BANARAN MALO","DESA BANARAN","BANARAN","KEC. MALO"
"2721","SD NEGERI DUKOHLOR MALO","DUKOHLOR","DUKOHLOR","KEC. MALO"
"2722","SD NEGERI KACANGAN I MALO","KACANGAN","KACANGAN","KEC. MALO"
"2723","SD NEGERI KACANGAN II MALO","DESA KACANGAN","KACANGAN","KEC. MALO"
"2724","SD NEGERI KEDUNGREJO MALO","DS KEDUNGREJO","KEDUNGREJO","KEC. MALO"
"2725","SD NEGERI KEMIRI I MALO","KEMIRI","KEMIRI","KEC. MALO"
"2726","SD NEGERI KETILENG I MALO","JL. RAYA NO. 13","KETILENG","KEC. MALO"
"2727","SD NEGERI KLITEH MALO","KLITEH","KLITEH","KEC. MALO"
"2728","SD NEGERI MALO II MALO","DESA MALO","MALO","KEC. MALO"
"2729","SD NEGERI NGUJUNG I MALO","DESA NGUJUNG","NGUJUNG","KEC. MALO"
"2730","SD NEGERI NGUJUNG II MALO","NGUJUNG","NGUJUNG","KEC. MALO"
"2731","SD NEGERI PETAK MALO","DUSUN JAJAR RT 7 RW 4","PETAK","KEC. MALO"
"2732","SD NEGERI RENDENG MALO","RENDENG","RENDENG","KEC. MALO"
"2733","SD NEGERI SEMLARAN MALO","DESA SEMLARAN","SEMLARAN","KEC. MALO"
"2734","SD NEGERI SUDAH MALO","JL. RAYA SUDAH","SUDAH","KEC. MALO"
"2735","SD NEGERI SUKOREJO MALO","SUKOREJO","SUKOREJO","KEC. MALO"
"2736","SD NEGERI SUMBERJO II MALO","JL. BRAWIJAYA","SUMBERJO","KEC. MALO"
"2737","SD NEGERI SUMBERJO III MALO","SUMBERJO","SUMBERJO","KEC. MALO"
"2738","SD NEGERI TAMBAKROMO II MALO","DESA TAMBAKROMO","TAMBAKROMO","KEC. MALO"
"2739","SD NEGERI TAMBAKROMO III MALO","JALAN CEPU NOMOR 3","TAMBAKROMO","KEC. MALO"
"2740","SD NEGERI TANGGIR I MALO","DESA TANGGIR","TANGGIR","KEC. MALO"
"2741","SD NEGERI TINAWUN I MALO","JL. BRAWIJAYA NO.159","TINAWUN","KEC. MALO"
"2742","SD NEGERI TREMBES MALO","DS TREMBES","TREMBES","KEC. MALO"
"2743","SD NEGERI TULUNGAGUNG MALO","DESA TULUNGAGUNG","TULUNGAGUNG","KEC. MALO"
"2744","SD NEGERI GENENG I MARGOMULYO","JL.CEPU-NGAWI KM.20","GENENG","KEC. MARGOMULYO"
"2745","SD NEGERI GENENG II MARGOMULYO","JLN. RAYA NGAWI - CEPU NO. 304","GENENG","KEC. MARGOMULYO"
"2746","SD NEGERI KALANGAN I MARGOMULYO","KALANGAN-MARGOMULYO-BOJONEGORO","KALANGAN","KEC. MARGOMULYO"
"2747","SD NEGERI KALANGAN II MARGOMULYO","DESA KALANGAN","KALANGAN","KEC. MARGOMULYO"
"2748","SD NEGERI KALANGAN III MARGOMULYO","DUSUN PANDEAN","KALANGAN","KEC. MARGOMULYO"
"2749","SD NEGERI MARGOMULYO I MARGOMULYO","JL. RAYA NGAWI-CEPU KM. 9 MARGOMULYO","MARGOMULYO","KEC. MARGOMULYO"
"2750","SD NEGERI MARGOMULYO II MARGOMULYO","DUSUN JEPANG DESA MARGOMULYO","MARGOMULYO","KEC. MARGOMULYO"
"2751","SD NEGERI MARGOMULYO IV MARGOMULYO","DUSUN BATANG DESA MARGOMULYO KECAMATAN MARGOMULYO","MARGOMULYO","KEC. MARGOMULYO"
"2752","SD NEGERI MEDURI I MARGOMULYO","DSN PUCANG ANOM","MEDURI","KEC. MARGOMULYO"
"2753","SD NEGERI MEDURI II MARGOMULYO","MEDURI","MEDURI","KEC. MARGOMULYO"
"2754","SD NEGERI MEDURI III MARGOMULYO","RT. 02 RW. 08 DESA MEDURI KECAMATAN MARGOMULYO - E","MEDURI","KEC. MARGOMULYO"
"2755","SD NEGERI MEDURI IV MARGOMULYO","JL BESALI","MEDURI","KEC. MARGOMULYO"
"2756","SD NEGERI MEDURI V MARGOMULYO","MEDURI","MEDURI","KEC. MARGOMULYO"
"2757","SD NEGERI NGELO I MARGOMULYO","DSN. JIPANGULU","NGELO","KEC. MARGOMULYO"
"2758","SD NEGERI NGELO II MARGOMULYO","DSN NGELO","NGELO","KEC. MARGOMULYO"
"2759","SD NEGERI SUMBERJO I MARGOMULYO","SUMBERJO","SUMBERJO","KEC. MARGOMULYO"
"2760","SD NEGERI SUMBERJO II MARGOMULYO","SUMBERJO-MARGOMULYO-BOJONEGORO","SUMBERJO","KEC. MARGOMULYO"
"2761","SD NEGERI SUMBERJO III MARGOMULYO","SUMBERJO-MARGOMULYO-BOJONEGORO","SUMBERJO","KEC. MARGOMULYO"
"2762","SD NEGERI SUMBERJO IV MARGOMULYO","SUMBERJO-MARGOMULYO-BOJONEGORO","SUMBERJO","KEC. MARGOMULYO"
"2763","SD NEGERI BONDOL I NGAMBON","JL. RAYA BONDOL NO. 25","BONDOL","KEC. NGAMBON"
"2764","SD NEGERI BONDOL II ","JL. RAYA BONDOL NO.276","BONDOL","KEC. NGAMBON"
"2765","SD NEGERI KARANGMANGU I NGAMBON","DS. KARANGMANGU","KARANGMANGU","KEC. NGAMBON"
"2766","SD NEGERI KARANGMANGU II NGAMBON","DK. KALONGAN","KARANGMANGU","KEC. NGAMBON"
"2767","SD NEGERI NGAMBON I NGAMBON","JL. RAYA NGAMBON NO. 107","NGAMBON","KEC. NGAMBON"
"2768","SD NEGERI NGLAMPIN I NGAMBON","DS. NGLAMPIN","NGLAMPIN","KEC. NGAMBON"
"2769","SD NEGERI NGLAMPIN II NGAMBON","DUSUN TAMBRAN","NGLAMPIN","KEC. NGAMBON"
"2770","SD NEGERI NGLAMPIN III NGAMBON","NGLAMPIN","NGLAMPIN","KEC. NGAMBON"
"2771","SD NEGERI NGLAMPIN V NGAMBON","NGLAMPIN","NGLAMPIN","KEC. NGAMBON"
"2772","SD NEGERI SENGON I NGAMBON","DESA SENGON","SENGON","KEC. NGAMBON"
"2773","SD NEGERI SENGON II NGAMBON","DUKUH BRANGGAH","SENGON","KEC. NGAMBON"
"2774","SD IT SYAKUR AL MARZUQI NGASEM","JL. RAYA KALITIDU NGASEM KM. 07 DSN. NGLINGI DS. BARENG","BARENG","KEC. NGASEM"
"2775","SD NEGERI BANDUNGREJO I NGASEM","DUSUN POHWAYANG","BANDUNGREJO","KEC. NGASEM"
